term,count
http://purl.obolibrary.org/obo/WBPhenotype_0001412,2
http://purl.obolibrary.org/obo/WBPhenotype_0000695,2
http://purl.obolibrary.org/obo/WBPhenotype_0000300,2
http://purl.obolibrary.org/obo/WBPhenotype_0001323,2
http://purl.obolibrary.org/obo/WBPhenotype_0000917,2
http://purl.obolibrary.org/obo/WBPhenotype_0000918,2
http://purl.obolibrary.org/obo/WBPhenotype_0000299,2
http://purl.obolibrary.org/obo/WBPhenotype_0000388,2
http://purl.obolibrary.org/obo/WBPhenotype_0000916,2
http://purl.obolibrary.org/obo/WBPhenotype_0000913,2
http://purl.obolibrary.org/obo/WBPhenotype_0000256,2
http://purl.obolibrary.org/obo/WBPhenotype_0000914,2
http://purl.obolibrary.org/obo/WBPhenotype_0000603,2
http://purl.obolibrary.org/obo/WBPhenotype_0000911,2
http://purl.obolibrary.org/obo/WBPhenotype_0000071,2
http://purl.obolibrary.org/obo/WBPhenotype_0000605,2
http://purl.obolibrary.org/obo/WBPhenotype_0000604,2
http://purl.obolibrary.org/obo/WBPhenotype_0000073,2
http://purl.obolibrary.org/obo/WBPhenotype_0000910,2
http://purl.obolibrary.org/obo/WBPhenotype_0000601,2
http://purl.obolibrary.org/obo/WBPhenotype_0000600,2
http://purl.obolibrary.org/obo/WBPhenotype_0000598,2
http://purl.obolibrary.org/obo/WBPhenotype_0001535,2
http://purl.obolibrary.org/obo/WBPhenotype_0001533,2
http://purl.obolibrary.org/obo/WBPhenotype_0000599,2
http://purl.obolibrary.org/obo/WBPhenotype_0001530,2
http://purl.obolibrary.org/obo/WBPhenotype_0001531,2
http://purl.obolibrary.org/obo/WBPhenotype_0001532,2
http://purl.obolibrary.org/obo/WBPhenotype_0000770,2
http://purl.obolibrary.org/obo/WBPhenotype_0001359,2
http://purl.obolibrary.org/obo/WBPhenotype_0000909,2
http://purl.obolibrary.org/obo/WBPhenotype_0001357,2
http://purl.obolibrary.org/obo/WBPhenotype_0000907,2
http://purl.obolibrary.org/obo/WBPhenotype_0000908,2
http://purl.obolibrary.org/obo/WBPhenotype_0000289,2
http://purl.obolibrary.org/obo/WBPhenotype_0001354,2
http://purl.obolibrary.org/obo/WBPhenotype_0000905,2
http://purl.obolibrary.org/obo/WBPhenotype_0001355,2
http://purl.obolibrary.org/obo/WBPhenotype_0001489,2
http://purl.obolibrary.org/obo/WBPhenotype_0000903,2
http://purl.obolibrary.org/obo/WBPhenotype_0000904,2
http://purl.obolibrary.org/obo/WBPhenotype_0000949,2
http://purl.obolibrary.org/obo/WBPhenotype_0000901,2
http://purl.obolibrary.org/obo/WBPhenotype_0000902,2
http://purl.obolibrary.org/obo/WBPhenotype_0000505,2
http://purl.obolibrary.org/obo/WBPhenotype_0000948,2
http://purl.obolibrary.org/obo/WBPhenotype_0000900,2
http://purl.obolibrary.org/obo/WBPhenotype_0001260,2
http://purl.obolibrary.org/obo/WBPhenotype_0001836,2
http://purl.obolibrary.org/obo/WBPhenotype_0000898,2
http://purl.obolibrary.org/obo/WBPhenotype_0000899,2
http://purl.obolibrary.org/obo/WBPhenotype_0001525,2
http://purl.obolibrary.org/obo/WBPhenotype_0001526,2
http://purl.obolibrary.org/obo/WBPhenotype_0001659,2
http://purl.obolibrary.org/obo/WBPhenotype_0000581,2
http://purl.obolibrary.org/obo/WBPhenotype_0000977,2
http://purl.obolibrary.org/obo/WBPhenotype_0000534,2
http://purl.obolibrary.org/obo/WBPhenotype_0001517,2
http://purl.obolibrary.org/obo/WBPhenotype_0000535,2
http://purl.obolibrary.org/obo/WBPhenotype_0000972,2
http://purl.obolibrary.org/obo/WBPhenotype_0000710,2
http://purl.obolibrary.org/obo/WBPhenotype_0000884,2
http://purl.obolibrary.org/obo/WBPhenotype_0000443,2
http://purl.obolibrary.org/obo/WBPhenotype_0000532,2
http://purl.obolibrary.org/obo/WBPhenotype_0000709,2
http://purl.obolibrary.org/obo/WBPhenotype_0001331,2
http://purl.obolibrary.org/obo/WBPhenotype_0001025,2
http://purl.obolibrary.org/obo/WBPhenotype_0000927,2
http://purl.obolibrary.org/obo/WBPhenotype_0001024,2
http://purl.obolibrary.org/obo/WBPhenotype_0000926,2
http://purl.obolibrary.org/obo/WBPhenotype_0000923,2
http://purl.obolibrary.org/obo/WBPhenotype_0000924,2
http://purl.obolibrary.org/obo/WBPhenotype_0000969,2
http://purl.obolibrary.org/obo/WBPhenotype_0000704,2
