defined_class	defined_class_label	chemical	chemical_label
WBPhenotype:0001574	ATP levels variant	CHEBI:15422	ATP
WBPhenotype:0000552	GABA levels variant	CHEBI:16865	gamma-aminobutyric acid
WBPhenotype:0000507	acetylcholine levels variant	CHEBI:15355	acetylcholine
