defined_class	defined_class_label	behavior_process	behavior_process_label
http://purl.obolibrary.org/obo/WBPhenotype_0000019	pharyngeal pumping reduced	http://purl.obolibrary.org/obo/GO_0043050	pharyngeal pumping
http://purl.obolibrary.org/obo/WBPhenotype_0000238	foraging reduced	http://purl.obolibrary.org/obo/GO_0060756	foraging behavior
http://purl.obolibrary.org/obo/WBPhenotype_0000646	sluggish	http://purl.obolibrary.org/obo/GO_0040011	locomotion
http://purl.obolibrary.org/obo/WBPhenotype_0001330	egg laying event infrequent	http://purl.obolibrary.org/obo/GO_0018991	oviposition
