defined_class	defined_class_label	molecular_function	molecular_function_label
WBPhenotype:0000727	enzyme activity variant	GO:0003824	catalytic activity
WBPhenotype:0001695	glycosyltransferase activity variant	GO:0016757	transferase activity, transferring glycosyl groups
