defined_class	defined_class_label	behavior_process	behavior_process_label
http://purl.obolibrary.org/obo/WBPhenotype_0000005	hyperactive egg laying	http://purl.obolibrary.org/obo/GO_0018991	oviposition
http://purl.obolibrary.org/obo/WBPhenotype_0000018	pharyngeal pumping increased	http://purl.obolibrary.org/obo/GO_0043050	pharyngeal pumping
http://purl.obolibrary.org/obo/WBPhenotype_0000237	foraging hyperactive	http://purl.obolibrary.org/obo/GO_0060756	foraging behavior
http://purl.obolibrary.org/obo/WBPhenotype_0000642	hyperactive	http://purl.obolibrary.org/obo/GO_0040011	locomotion
