defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/WBPhenotype_0000277	rhythm slow	http://purl.obolibrary.org/obo/GO_0048511	rhythmic process
http://purl.obolibrary.org/obo/WBPhenotype_0000031	slow growth	http://purl.obolibrary.org/obo/GO_0040007	growth
http://purl.obolibrary.org/obo/WBPhenotype_0000042	slow embryonic development	http://purl.obolibrary.org/obo/GO_0009790	embryo development
http://purl.obolibrary.org/obo/WBPhenotype_0000173	cell proliferation reduced	http://purl.obolibrary.org/obo/GO_0008283	cell population proliferation
http://purl.obolibrary.org/obo/WBPhenotype_0000182	apoptosis reduced	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process
http://purl.obolibrary.org/obo/WBPhenotype_0000318	cell cycle delayed	http://purl.obolibrary.org/obo/GO_0007049	cell cycle
http://purl.obolibrary.org/obo/WBPhenotype_0000363	cell division slow	http://purl.obolibrary.org/obo/GO_0051301	cell division
http://purl.obolibrary.org/obo/WBPhenotype_0000674	slow development	http://purl.obolibrary.org/obo/GO_0032502	developmental process
http://purl.obolibrary.org/obo/WBPhenotype_0001242	intraflagellar transport slow	http://purl.obolibrary.org/obo/GO_0042073	intraciliary transport
