defined_class	defined_class_label	biological_process	biological_process_label
WBPhenotype:0000183	apoptosis increased	GO:0006915	apoptotic process
WBPhenotype:0001397	necrotic cell death increased	GO:0070265	necrotic cell death
WBPhenotype:0000973	homologous recombination increased	GO:0035825	homologous recombination
WBPhenotype:0000172	cell proliferation increased	GO:0008283	cell population proliferation
WBPhenotype:0001742	lipid synthesis increased	GO:0008610	lipid biosynthetic process
WBPhenotype:0001799	inhibition of synaptogenesis hyperactive	GO:0051964	negative regulation of synapse assembly
WBPhenotype:0002619	cell death increased	GO:0008219	cell death
