defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
WBPhenotype:0000278	body region pigmentation phenotype	WBbt:0005738	body region
WBPhenotype:0000292	organ system pigmentation phenotype	WBbt:0005746	organ system
WBPhenotype:0000293	alimentary system pigmentation variant	WBbt:0005748	alimentary system
WBPhenotype:0000521	pigmentation phenotype	WBbt:0007833	organism
WBPhenotype:0000526	cell pigmentation phenotype	WBbt:0004017	cell
WBPhenotype:0000963	male pigmentation variant	WBbt:0007850	male
