defined_class	defined_class_label	shape	shape_label	entity	entity_label
WBPhenotype:0001516	helical cuticle	PATO:0000404	coiled	WBbt:0005755	cuticle
WBPhenotype:0000441	tail rounded	PATO:0000411	circular	WBbt:0005741	tail
