defined_class	defined_class_label	biological_process	biological_process_label
WBPhenotype:0001396	pumping absent	GO:0043050	pharyngeal pumping
WBPhenotype:0000190	no dauer recovery	GO:0043054	dauer exit
WBPhenotype:0000410	no defecation cycle	GO:0035882	defecation rhythm
WBPhenotype:0001168	pseudocleavage absent early emb	GO:0030590	first cell cycle pseudocleavage
WBPhenotype:0001244	intraflagellar transport absent	GO:0042073	intraciliary transport
WBPhenotype:0002514	backing absent	GO:0043057	backward locomotion
WBPhenotype:0000184	apoptosis fails to occur	GO:0006915	apoptotic process
WBPhenotype:0000351	failure to hatch	GO:0035188	hatching
WBPhenotype:0000393	cell migration failure	GO:0016477	cell migration
WBPhenotype:0000417	cell division failure	GO:0051301	cell division
WBPhenotype:0001362	chromosome condensation failure	GO:0030261	chromosome condensation
WBPhenotype:0001373	protein RNA interaction abolished	GO:0022618	ribonucleoprotein complex assembly
