Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	WBPhenotype:0001638	IAO:0000115	Animals are deficient in the formation or disassembly of lysosomes.	
ERROR	duplicate_definition	WBPhenotype:0001784	IAO:0000115	Animals are deficient in the formation or disassembly of lysosomes.	
ERROR	duplicate_definition	WBPhenotype:0000991	IAO:0000115	Activity of the neuron varies from that observed for control animals or neurons. In C. elegans neuron activity is often assayed by observing calcium spikes.	
ERROR	duplicate_definition	WBPhenotype:0001818	IAO:0000115	Activity of the neuron varies from that observed for control animals or neurons. In C. elegans neuron activity is often assayed by observing calcium spikes.	
ERROR	missing_label	PATO:0000956	rdfs:label		
ERROR	deprecated_class_reference	WBPhenotype:0000108	oboInOwl:consider	WBPhenotype:0000583	
ERROR	deprecated_class_reference	WBPhenotype:0000109	oboInOwl:consider	WBPhenotype:0000583	
ERROR	deprecated_class_reference	WBPhenotype:0000110	oboInOwl:consider	WBPhenotype:0000583	
ERROR	deprecated_class_reference	WBPhenotype:0000271	oboInOwl:consider	WBPhenotype:0000318	
ERROR	deprecated_class_reference	WBPhenotype:0000271	oboInOwl:consider	WBPhenotype:0001995	
ERROR	deprecated_class_reference	WBPhenotype:0000348	oboInOwl:consider	WBPhenotype:0001735	
ERROR	deprecated_class_reference	WBPhenotype:0000573	oboInOwl:consider	WBPhenotype:0000633	
ERROR	deprecated_class_reference	WBPhenotype:0000573	oboInOwl:consider	WBPhenotype:0001398	
ERROR	deprecated_class_reference	WBPhenotype:0000587	oboInOwl:consider	WBPhenotype:0002072	
ERROR	deprecated_class_reference	WBPhenotype:0000719	oboInOwl:consider	WBPhenotype:0000306	
ERROR	deprecated_class_reference	WBPhenotype:0000719	oboInOwl:consider	WBPhenotype:0000717	
ERROR	deprecated_class_reference	WBPhenotype:0000720	oboInOwl:consider	WBPhenotype:0000111	
ERROR	deprecated_class_reference	WBPhenotype:0000720	oboInOwl:consider	WBPhenotype:0000961	
ERROR	deprecated_class_reference	WBPhenotype:0000721	oboInOwl:consider	WBPhenotype:0000962	
ERROR	deprecated_class_reference	WBPhenotype:0000869	oboInOwl:consider	WBPhenotype:0001401	
ERROR	deprecated_class_reference	WBPhenotype:0000870	oboInOwl:consider	WBPhenotype:0001401	
ERROR	deprecated_class_reference	WBPhenotype:0000871	oboInOwl:consider	WBPhenotype:0001402	
ERROR	deprecated_class_reference	WBPhenotype:0000872	oboInOwl:consider	WBPhenotype:0001402	
ERROR	deprecated_class_reference	WBPhenotype:0001094	oboInOwl:consider	WBPhenotype:0000523	
ERROR	deprecated_class_reference	WBPhenotype:0001149	oboInOwl:consider	WBPhenotype:0001148	
ERROR	deprecated_class_reference	WBPhenotype:0001560	oboInOwl:consider	WBPhenotype:0001550	
ERROR	missing_ontology_description	wbphenotype.owl	dc11:description		
ERROR	missing_ontology_license	wbphenotype.owl	dc:license		
ERROR	missing_ontology_title	wbphenotype.owl	dc11:title		
WARN	multiple_asserted_superclasses	WBPhenotype:0000008	rdfs:subClassOf	WBPhenotype:0000010	
WARN	multiple_asserted_superclasses	WBPhenotype:0000008	rdfs:subClassOf	WBPhenotype:0000627	
WARN	multiple_asserted_superclasses	WBPhenotype:0000009	rdfs:subClassOf	WBPhenotype:0000011	
WARN	multiple_asserted_superclasses	WBPhenotype:0000009	rdfs:subClassOf	WBPhenotype:0000627	
WARN	multiple_asserted_superclasses	WBPhenotype:0000016	rdfs:subClassOf	WBPhenotype:0000500	
WARN	multiple_asserted_superclasses	WBPhenotype:0000016	rdfs:subClassOf	WBPhenotype:0000680	
