?prefix	?numberOfClasses
"IAO"	6
"CARO"	1
"BFO"	13
"WBbt"	213
"WBls"	61
"UBERON"	10
"PR"	1
"WBPhenotype"	2712
"GO"	1982
"CL"	38
"NCBITaxon"	4
"CHEBI"	1252
"PATO"	254
